"GEOID","NAME","MedHouseIncome","Pct_CostBurdened_Owners","Pct_CostBurdened_Renters","Pct_CostBurdened_15_24","Pct_CostBurdened_25_34","Pct_CostBurdened_35_64","Pct_CostBurdened_65_plus","Pct_RenterCostBurdened_15_24","Pct_RenterCostBurdened_25_34","Pct_RenterCostBurdened_35_64","Pct_RenterCostBurdened_65_plus","Pct_CostBurdened_White_Owners","Pct_CostBurdened_Black_Owners","Pct_CostBurdened_Other_Owners","Pct_CostBurdened_White_Renters","Pct_CostBurdened_Black_Renters","Pct_CostBurdened_Other_Renters","isUrban","Unemployment_Rate","Pct_Bachelors_Higher"
"13001","Appling County, Georgia",43728,22.1298495645289,35.9697732997481,47.6190476190476,19.5856873822976,22.1396731054978,22.2719641857862,2.99539170506912,57.6023391812866,46.2295081967213,27.5510204081633,21.7860647693817,7.84313725490196,20.6451612903226,29.935125115848,45.7575757575758,32.3529411764706,0,3.62261146496815,9.94870959863226
"13003","Atkinson County, Georgia",38438,10.2427184466019,40.0354295837024,0,10.3448275862069,5.34290271132376,21.1340206185567,51.5151515151515,36.9469026548673,36.2403100775194,63.28125,10.3425559947299,11.7647058823529,4.80769230769231,31.7604355716878,42.0863309352518,0,0,2.84090909090909,9.81539023944434
"13005","Bacon County, Georgia",50310,18.0714767363452,40.4966571155683,22.3880597014925,22.4066390041494,16.5279429250892,19.3647540983607,50.7692307692308,49.1694352159468,32.7710843373494,40.2255639097744,13.1230529595016,29.4605809128631,30.1075268817204,37.7049180327869,25.0980392156863,100,0,3.2250938811575,11.0237306843267
"13007","Baker County, Georgia",44405,17.5308641975309,21.7105263157895,0,7.40740740740741,19.1919191919192,16.7979002624672,0,15.3846153846154,19.6581196581197,28.2258064516129,8.68761552680222,32.6530612244898,100,19.2660550458716,17.5531914893617,0,0,9.55223880597015,16.8780487804878
"13009","Baldwin County, Georgia",55413,14.180550174351,51.5736393670666,0,18.1818181818182,13.2059519783564,15.0864472950363,73.2704402515723,57.2249589490969,38.3986928104575,48.8314883148831,11.58486200628,18.3102275699712,0,46.1538461538462,52.1695594125501,51.1811023622047,0,5.52473416551087,24.1283936239901
"13011","Banks County, Georgia",68830,19.731027857829,32.4273072060683,39.8148148148148,11.7252931323283,17.082087072117,26.8276324614353,51.1363636363636,18.8405797101449,21.5406562054208,51.257253384913,17.3588924387646,0,32.7433628318584,28.1152647975078,43.4782608695652,45.1612903225806,0,2.66965787997757,17.3414762874161
"13013","Barrow County, Georgia",77477,22.1973283733514,45.6820412168793,33.7868480725624,24.6804069919123,20.2937438214941,24.5593869731801,39.9193548387097,41.5993537964459,41.2147505422993,70.1063829787234,22.239074261319,23.1814842027921,14.818763326226,39.3962650294193,45.9132906894101,36.3354037267081,1,3.33429786097447,21.022186044095
"13015","Bartow County, Georgia",79431,18.5548008328498,41.4005980515096,46.6135458167331,21.9809322033898,15.2093631043691,23.6275916025557,55.2805280528053,30.9323729491797,40.7349896480331,56.1391541609823,17.9900695134062,19.1285403050109,13.258785942492,39.6316851664985,42.4460431654676,6.17977528089888,1,4.57763346995263,22.9384868945717
"13017","Ben Hill County, Georgia",39081,14.6626196591174,27.5095519277527,0,11.1428571428571,14.2061281337047,18.0025445292621,0,50.1160092807425,25.7676098735701,34.1801385681293,8.87942332896461,26.6666666666667,0,29.251012145749,20.4707170224412,25.531914893617,0,4.99375780274657,12.1079758888792
"13019","Berrien County, Georgia",50414,16.3157894736842,32.7545753167527,3.63636363636364,9.71563981042654,17.7343467245747,16.0264900662252,25.6944444444444,26.1467889908257,43.9609236234458,12.2352941176471,15.9740571703099,20.5980066445183,0,28.8504464285714,43.1972789115646,0,0,4.17082917082917,12.797783933518
"13021","Bibb County, Georgia",50747,20.7193729877394,53.4771187612332,25.7575757575758,19.2527640106748,17.8699026734015,24.9234693877551,72.9303547963206,49.7060744611365,50.6436553968029,58.5255354200988,14.6139540464335,25.0900753357353,36.2511893434824,45.2433324168271,56.2245643326724,40.532319391635,1,7.50521095378423,25.9871317304436
"13023","Bleckley County, Georgia",53005,16.8471337579618,44.9693788276465,0,56.25,17.4520069808028,11.1916264090177,55.5555555555556,36.0795454545455,49.7584541062802,43.801652892562,12.1304018195603,27.5943396226415,0,25.9825327510917,52.5078369905956,70.5882352941177,0,7.41301059001513,18.2854311199207
"13025","Brantley County, Georgia",47801,12.3129380564501,25.5003227888961,0,8.86917960088692,10.5615470435106,15.6055528961225,21.1267605633803,27.2300469483568,23.3863423760524,36.734693877551,11.8716995892822,11.1111111111111,0,31.0032894736842,10.9375,0,0,2.82515991471215,10.8979947689625
"13027","Brooks County, Georgia",47656,26.5876777251185,36.3021420518602,0,29.4776119402985,24.6147438567264,30.1937207748831,25.609756097561,14.7308781869688,44.2906574394464,39.6186440677966,16.4927633793336,50,48,26.4204545454545,45.9770114942529,0,0,6.4624894633324,13.566262960704
"13029","Bryan County, Georgia",94234,15.3518301855257,45.9922178988327,0,14.5114101813926,13.9550352534256,20.4158790170132,53.9568345323741,55.2511415525114,35.1436265709156,75.2642706131078,12.6589097177332,20.0129533678756,28.6610878661088,49.6683573936793,37.3456790123457,33.6700336700337,0,5.61823003281046,34.6367383085255
"13031","Bulloch County, Georgia",56832,15.0616977739195,42.0100360449502,68.3544303797468,9.12676056338028,13.4075194468453,19.3741279649193,61.8102054952667,30.0207653515277,30.423645320197,51.8221574344023,11.7218389022405,20.6911083017278,13.903743315508,39.1678224687933,42.1710526315789,36.8965517241379,1,7.91918889968363,30.801140782992
